koran,koran
lampion,lampion
kalender,kalender
CD,CD
barber pole,barber pole
alat pel,alat pel
teropong,teropong
lollipop,lollipop
sepatu kuda,sepatu kuda
cicak,cicak
loop,loop
cupcake,cupcake
senter,senter
cokelat,cokelat
jerigen,jerigen
golok,golok
kapak,kapak
durian,durian
melon,melon
sikat gigi,sikat gigi
pensil,pensil
belimbing,belimbing
jagung,jagung
bunga matahari,bunga matahari
scorpion,scorpion
belalang,belalang
kecoa,kecoa
mug,mug
tong sampah,tong sampah
cumi,cumi
permen kapas,permen kapas
suntikan,suntikan
topi,topi
setir,setir
kunci,kunci
kodok,kodok
tarantula,tarantula
bebek karet,bebek karet
