speaker,speaker
jam,jam
biola,biola
traffic cone,traffic cone
wajan,wajan
sandal,sandal
piano,piano
bantal,bantal
kursi,kursi
samsak,samsak
ban,ban
pemadam api,pemadam api
meriam,meriam
bambu,bambu
kendang,kendang
hanger,hanger
don't parking,don't parking
tali,tali
sawi,sawi
piring,piring
eskrim,eskrim
ketapel,ketapel
busur panah,busur panah
paprika,paprika
sponge,sponge
bola kasti,bola kasti
kaktus,kaktus
anak panah,anak panah
daun bawang,daun bawang
shuriken,shuriken
topi,topi
earphone,earphone
skateboard,skateboard
burger,burger
tang,tang
payung,payung
stick golf,stick golf
baseball bat,baseball bat
keris,keris
