hurufc,hurufc
keranjang bambu,keranjang bambu
ayam,ayam
buku,buku
tupai,tupai
layang2,layang2
map,map
tikus,tikus
topi santa,topi santa
ember,ember
susu,susu
guci,guci
pesawat kertas,pesawat kertas
bulu,bulu
tali,tali
shuttlecock,shuttlecock
lampu,lampu
tongkat,tongkat
botol,botol
bola basket,bola basket
tissue,tissue
jambu air,jambu air
obat nyamuk,obat nyamuk
cobek,cobek
kunci,kunci
talenan kayu,talenan kayu
daun,daun
stawberry,stawberry
burung,burung
belalang,belalang
mug,mug
garpu,garpu
nanas,nanas
tempat sampah,tempat sampah
baseball,baseball
donat,donat
pisau,pisau
tomat,tomat
semangka,semangka
bunga mawar,bunga mawar
teru-teru bozu,teru-teru bozu
