meriam,meriam
topi koboy,topi koboy
mesin cuci,mesin cuci
kulkas,kulkas
ring basket,ring basket
senapan,senapan
anggur,anggur
granat,granat
koper,koper
centong,centong
pemanggang roti,pemanggang roti
sendok,sendok
mic,mic
pisau,pisau
garpu,garpu
lampu belajar,lampu belajar
roti,roti
cangkir,cangkir
dinamit,dinamit
blender,blender
gergaji,gergaji
petromak,petromak
mixer,mixer
jam pasir,jam pasir
lipan,lipan
katana,katana
belimbing,belimbing
kipas,kipas
spider,spider
blangkon,blangkon
rice cooker,rice cooker
