tombak,tombak
semangka,semangka
daging,daging
crow,crow
stop sign,stop sign
pizza,pizza
raket,raket
sapu,sapu
anggur,anggur
bowling,bowling
asbak,asbak
lilin,lilin
barrel,barrel
topi,topi
bola,bola
cambuk,cambuk
mangkuk,mangkuk
labu,labu
katana,katana
gergaji,gergaji
mangga,mangga
kol,kol
sendok sup,sendok sup
gloves,gloves
salak,salak
diamond,diamond
ikan,ikan
borgol,borgol
sedot wc,sedot wc
topeng,topeng
pisang,pisang
keju,keju
pisau,pisau
wortel,wortel
teflon,teflon
kartu as,kartu as
kacamata,kacamata
skull,skull
kran,kran
boots,boots
gear,gear
